letters,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,letterDisp.started,letterDisp.stopped,isiText.started,isiText.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
T',0,0,0,7,19.59444410202559,None,20.58948430302553,None,20.83941286301706,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
Y',0,1,1,11,21.839327847003005,None,22.83934062195476,None,23.111749329953454,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
F',0,2,2,0,24.075502694933675,None,25.07478814094793,None,25.323067868012004,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
R',0,3,3,10,26.32610357098747,None,27.323149061994627,None,27.573713717982173,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
K',0,4,4,1,28.573216632008553,None,29.574548349017277,None,29.824506690027192,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
P',0,5,5,2,30.896537801949307,None,31.83855535101611,None,32.08845817297697,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
L',0,6,6,5,33.088186241919175,None,34.088668735930696,None,34.33684170502238,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
N',0,7,7,9,35.33849260897841,None,36.33876179193612,None,36.588221215992235,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
Q',0,8,8,6,37.58805571892299,None,38.588033047970384,None,38.83794683497399,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
J',0,9,9,8,39.83888809895143,None,40.83700202300679,None,41.08688972296659,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
H',0,10,10,4,42.08778078400064,None,43.088109395932406,None,43.33809133502655,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
S',0,11,11,3,44.338197503006086,None,45.33813335595187,None,45.58781497494783,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
L',1,0,12,5,46.58810239494778,None,47.588041089009494,None,47.83805838902481,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
R',1,1,13,10,48.83809032093268,None,49.83954976394307,None,50.08804662793409,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
T',1,2,14,7,51.088246701983735,None,52.08851824293379,None,52.33848155394662,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
S',1,3,15,3,53.338125529000536,None,54.33959570003208,None,54.58793892292306,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
Q',1,4,16,6,55.587680759024806,None,56.58690307394136,None,56.83688825101126,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
N',1,5,17,9,57.8367175339954,None,58.836733149015345,None,59.086717817001045,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
Y',1,6,18,11,60.08677785296459,None,61.08769024303183,None,61.33796437899582,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
H',1,7,19,4,62.33791848702822,None,63.337592175928876,None,63.58795105793979,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
F',1,8,20,0,64.58787350403145,None,65.5878280409379,None,65.83771788596641,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
P',1,9,21,2,66.83767602802254,None,67.83768048603088,None,68.0877632299671,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
J',1,10,22,8,69.08775683795102,None,70.08659993100446,None,70.33664340001997,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
K',1,11,23,1,71.33771064097527,None,72.33770014496986,None,72.58829835301731,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
K',2,0,24,1,73.58650227100588,None,74.58643818099517,None,74.8366046489682,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
J',2,1,25,8,75.83694445597939,None,76.83782648399938,None,77.08773102995474,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
Y',2,2,26,11,78.08771389594767,None,79.08757136494387,None,79.33768953592516,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
P',2,3,27,2,80.33634263696149,None,81.338146999944,None,81.58818083396181,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
N',2,4,28,9,82.58746781898662,None,83.58763545600232,None,83.83772339101415,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
Q',2,5,29,6,84.83776095998473,None,85.83645181998145,None,86.08626265800558,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
L',2,6,30,5,87.0876583099598,None,88.0881412809249,None,88.33752358600032,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
F',2,7,31,0,89.33751126297284,None,90.33741928299423,None,90.58760346693452,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
S',2,8,32,3,91.58712038700469,None,92.58749261195771,None,92.83742739399895,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
H',2,9,33,4,93.83748917095363,None,94.8374644080177,None,95.0874173840275,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
T',2,10,34,7,96.08749167399947,None,97.08722798991948,None,97.3374435720034,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
R',2,11,35,10,98.33747277595103,None,99.33800287696067,None,99.58726611093152,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
L',3,0,36,5,100.58705786697101,None,101.79978014994413,None,101.83405404398218,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
Q',3,1,37,6,102.83609626896214,None,103.83767426793929,None,104.08731260593049,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
P',3,2,38,2,105.08743947395124,None,106.08717938698828,None,106.33728644100484,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
T',3,3,39,7,107.33736827899702,None,108.33793451194651,None,108.58705563202966,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
F',3,4,40,0,109.58790601696819,None,110.58605999301653,None,110.83621816395316,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
R',3,5,41,10,111.83626317500602,None,112.83706930500921,None,113.08727126591839,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
H',3,6,42,4,114.08694550895598,None,115.08708055899478,None,115.337735140929,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
K',3,7,43,1,116.33682237099856,None,117.33778236398939,None,117.58708681399003,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
J',3,8,44,8,118.58725525101181,None,119.58719469001517,None,119.83799180295318,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
N',3,9,45,9,120.83706539298873,None,121.83727564592846,None,122.08705386694055,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
S',3,10,46,3,123.0868303750176,None,124.08701534895226,None,124.33838086295873,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
Y',3,11,47,11,125.33707822300494,None,126.33719418093096,None,126.58709146094043,None,17t,001,2022-07-13_18h42.14.537,ospan,2022.1.4,60.2994361671977,
