riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,outcomes,choices,itiTextReal.started,itiTextReal.stopped,dynamicChoiceSet.routineStartVal,showPart2fileName.started,moveAlong.started,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,moveAlong.keys,moveAlong.rt,breaktxt.started,cont_buttonBreak.started,BreakEndMouse.started,BreakEndMouse.x,BreakEndMouse.y,BreakEndMouse.leftButton,BreakEndMouse.midButton,BreakEndMouse.rightButton,BreakEndMouse.time,GenInsText.started,mouse_2.started,cont_buttonGEN.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,5.992152927999996,7.99234837199765,return,0.9288319050028804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h02.14.185,CGTriskyDMtask,2022.2.1,60.04518616496291,
,,,,,,,,,,,,,,,,,,,,,,8.942483486996935,10.926816005998262,v,1.69158214300478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h02.14.185,CGTriskyDMtask,2022.2.1,60.04518616496291,
,,,,,,,,,,,,,,,,,,,,,,,,,,12.643198388999735,12.643198388999735,v,3.4388023179999436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h02.14.185,CGTriskyDMtask,2022.2.1,60.04518616496291,
20.03,0.0,1.99,0,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,16.126832954996644,16.126832954996644,16.126832954996644,16.126832954996644,16.126832954996644,16.126832954996644,16.126832954996644,18.095352211999852,18.095352211999852,18.095352211999852,1,v,0.37069427800088306,20.09554979099994,22.096929973999067,22.096929973999067,22.096929973999067,22.096929973999067,22.096929973999067,22.096929973999067,23.097245274999295,23.097245274999295,23.097245274999295,23.097245274999295,23.097245274999295,20.03,1,23.097245274999295,24.09735221399751,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h02.14.185,CGTriskyDMtask,2022.2.1,60.04518616496291,
17.73,0.0,3.13,0,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,24.09735221399751,24.09735221399751,24.09735221399751,24.09735221399751,24.09735221399751,24.09735221399751,24.09735221399751,26.081805366997287,26.081805366997287,26.081805366997287,1,n,0.27995480300160125,28.08196229499663,30.082300056998065,30.082300056998065,30.082300056998065,30.082300056998065,30.082300056998065,30.082300056998065,,,,,,3.13,0,31.083352097997704,32.0835236799976,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h02.14.185,CGTriskyDMtask,2022.2.1,60.04518616496291,
28.21,0.0,3.89,0,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,32.0835236799976,32.0835236799976,32.0835236799976,32.0835236799976,32.0835236799976,32.0835236799976,32.0835236799976,34.067290598999534,34.067290598999534,34.067290598999534,1,n,0.48582042300040484,36.06843600599677,38.068868110996846,38.068868110996846,38.068868110996846,38.068868110996846,38.068868110996846,38.068868110996846,39.06917199599775,39.06917199599775,39.06917199599775,39.06917199599775,39.06917199599775,3.89,0,39.06917199599775,40.419938638999156,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h02.14.185,CGTriskyDMtask,2022.2.1,60.04518616496291,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd004_muInd201.csv,40.419938638999156,41.05339317199832,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd004_muInd201.csv,4,201,return,8.124594903001707,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h02.14.185,CGTriskyDMtask,2022.2.1,60.04518616496291,
15.441813502472401,0,7.819461897772269,,3.89439206292843e-11,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,49.21223979699789,49.21223979699789,49.21223979699789,49.21223979699789,49.21223979699789,49.21223979699789,49.21223979699789,51.19010643099682,51.19010643099682,51.19010643099682,2,v,0.5234709870019287,53.19044339899847,55.19053693299793,55.19053693299793,55.19053693299793,55.19053693299793,55.19053693299793,55.19053693299793,,,,,,7.819461897772269,0,56.19184496699745,57.19187628899817,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h02.14.185,CGTriskyDMtask,2022.2.1,60.04518616496291,
25.9734879862634,0,2.44698572214693,,0.9605543621595691,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,57.19187628899817,57.19187628899817,57.19187628899817,57.19187628899817,57.19187628899817,57.19187628899817,57.19187628899817,59.17546009899888,59.17546009899888,59.17546009899888,1,n,0.3385866530043131,61.17687064799975,63.177242690999265,63.177242690999265,63.177242690999265,63.177242690999265,63.177242690999265,63.177242690999265,,,,,,2.44698572214693,0,64.17715452599805,65.17740157999651,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h02.14.185,CGTriskyDMtask,2022.2.1,60.04518616496291,
27.5773200138472,0,3.3145179445855297,,0.53134072638187,1,,,,,,,,,0,2,2,2,,,,,,,,,,,,,65.17740157999651,65.17740157999651,65.17740157999651,65.17740157999651,65.17740157999651,65.17740157999651,65.17740157999651,67.16193446799662,67.16193446799662,67.16193446799662,1,v,0.936061996002536,69.16223012499904,71.16335012199852,71.16335012199852,71.16335012199852,71.16335012199852,71.16335012199852,71.16335012199852,72.16371897899808,72.16371897899808,72.16371897899808,72.16371897899808,72.16371897899808,27.5773200138472,1,72.16371897899808,73.16383396599849,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h02.14.185,CGTriskyDMtask,2022.2.1,60.04518616496291,
