riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,outcomes,choices,itiTextReal.started,itiTextReal.stopped,dynamicChoiceSet.routineStartVal,showPart2fileName.started,moveAlong.started,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,moveAlong.keys,moveAlong.rt,breaktxt.started,cont_buttonBreak.started,BreakEndMouse.started,BreakEndMouse.x,BreakEndMouse.y,BreakEndMouse.leftButton,BreakEndMouse.midButton,BreakEndMouse.rightButton,BreakEndMouse.time,GenInsText.started,mouse_2.started,cont_buttonGEN.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,FSGenInsText.started,FSMouse.started,cont_buttonFSIns.started,FSMouse.x,FSMouse.y,FSMouse.leftButton,FSMouse.midButton,FSMouse.rightButton,FSMouse.time,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,6.076274275001197,8.07261772199854,return,0.026886514999205247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h10.53.888,CGTriskyDMtask,2022.2.1,60.82501369731521,
,,,,,,,,,,,,,,,,,,,,,,8.122537966999516,10.122730525999941,v,1.5207401080006093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h10.53.888,CGTriskyDMtask,2022.2.1,60.82501369731521,
,,,,,,,,,,,,,,,,,,,,,,,,,,11.674120045001473,11.674120045001473,v,0.43308672700004536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h10.53.888,CGTriskyDMtask,2022.2.1,60.82501369731521,
17.73,0.0,3.13,0,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,12.138633553000545,12.138633553000545,12.138633553000545,12.138633553000545,12.138633553000545,12.138633553000545,12.138633553000545,14.107645473999582,14.107645473999582,14.107645473999582,2,v,0.23149984300107462,16.109044392000214,18.109293614001217,18.109293614001217,18.109293614001217,18.109293614001217,18.109293614001217,18.109293614001217,19.10931963999974,19.10931963999974,19.10931963999974,19.10931963999974,19.10931963999974,3.13,0,19.10931963999974,20.10965239199868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h10.53.888,CGTriskyDMtask,2022.2.1,60.82501369731521,
20.03,0.0,1.99,0,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,20.10965239199868,20.10965239199868,20.10965239199868,20.10965239199868,20.10965239199868,20.10965239199868,20.10965239199868,22.09392070499962,22.09392070499962,22.09392070499962,1,n,0.5813221120006347,24.094250409998494,26.084414957000263,26.084414957000263,26.084414957000263,26.084414957000263,26.084414957000263,26.084414957000263,,,,,,1.99,0,27.095517491001374,28.095813292999082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h10.53.888,CGTriskyDMtask,2022.2.1,60.82501369731521,
28.21,0.0,3.89,0,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,28.095813292999082,28.095813292999082,28.095813292999082,28.095813292999082,28.095813292999082,28.095813292999082,28.095813292999082,30.079272543000116,30.079272543000116,30.079272543000116,1,v,0.06842015499933041,32.08047283199994,34.08093420200021,34.08093420200021,34.08093420200021,34.08093420200021,34.08093420200021,34.08093420200021,35.08119951199842,35.08119951199842,35.08119951199842,35.08119951199842,35.08119951199842,28.21,1,35.08119951199842,36.43392691600093,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h10.53.888,CGTriskyDMtask,2022.2.1,60.82501369731521,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd001_muInd001.csv,36.43392691600093,37.06569898700036,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd001_muInd001.csv,1,1,return,7.041767774000618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h10.53.888,CGTriskyDMtask,2022.2.1,60.82501369731521,
21.0340809716145,0,2.20827516175341,,0.48503124620898,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,44.13883765399805,44.13883765399805,44.13883765399805,44.13883765399805,44.13883765399805,44.13883765399805,44.13883765399805,46.118878411998594,46.118878411998594,46.118878411998594,1,v,0.3407007599998906,48.119190370998695,50.11954543599859,50.11954543599859,50.11954543599859,50.11954543599859,50.11954543599859,50.11954543599859,,,,,,0,1,51.12052436000158,52.12066240200147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h10.53.888,CGTriskyDMtask,2022.2.1,60.82501369731521,
19.30622781805,0,10.316113087150699,,0.0911056560241065,0,,,,,,,,,0,1,1,1,,,,,,,,,,,,,52.12066240200147,52.12066240200147,52.12066240200147,52.12066240200147,52.12066240200147,52.12066240200147,52.12066240200147,54.104407766000804,54.104407766000804,54.104407766000804,2,n,0.6345957599987742,56.08986482199907,58.08905840499938,58.08905840499938,58.08905840499938,58.08905840499938,58.08905840499938,58.08905840499938,59.08919353300007,59.08919353300007,59.08919353300007,59.08919353300007,59.08919353300007,19.30622781805,1,59.08919353300007,60.089347935998376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h10.53.888,CGTriskyDMtask,2022.2.1,60.82501369731521,
20.978516541468,0,11.3928882671986,,0.0887910789742396,0,,,,,,,,,0,2,2,2,,,,,,,,,,,,,60.089347935998376,60.089347935998376,60.089347935998376,60.089347935998376,60.089347935998376,60.089347935998376,60.089347935998376,62.073982132998935,62.073982132998935,62.073982132998935,2,v,0.641450306000479,64.07424369,66.07445382000151,66.07445382000151,66.07445382000151,66.07445382000151,66.07445382000151,66.07445382000151,,,,,,11.3928882671986,0,67.07545664999998,68.07567403099893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h10.53.888,CGTriskyDMtask,2022.2.1,60.82501369731521,
