riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,digitSpan,digits,digitsReverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,TrialFSPractice.thisRepN,TrialFSPractice.thisTrialN,TrialFSPractice.thisN,TrialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,itiTextReal.stopped,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,dynamicChoiceSet.routineStartVal,showPart2fileName.started,moveAlong.started,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,moveAlong.keys,moveAlong.rt,breaktxt.started,cont_buttonBreak.started,BreakEndMouse.started,BreakEndMouse.x,BreakEndMouse.y,BreakEndMouse.leftButton,BreakEndMouse.midButton,BreakEndMouse.rightButton,BreakEndMouse.time,GenInsText.started,mouse_2.started,cont_buttonGEN.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,FSGenInsText.started,FSMouse.started,cont_buttonFSIns.started,FSMouse.x,FSMouse.y,FSMouse.leftButton,FSMouse.midButton,FSMouse.rightButton,FSMouse.time,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.081937595001364,8.072780590002367,return,0.05651301599937142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h33.41.480,CGTriskyDMtask,2022.2.1,60.024173895101455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.15712952100148,10.140703568002209,v,1.5564943440003844,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h33.41.480,CGTriskyDMtask,2022.2.1,60.024173895101455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.723778702002164,11.723778702002164,v,0.5412250749977829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h33.41.480,CGTriskyDMtask,2022.2.1,60.024173895101455,
28.21,0.0,3.89,0,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,12.306653979001567,12.306653979001567,12.306653979001567,12.306653979001567,12.306653979001567,12.306653979001567,12.306653979001567,14.2756471970024,14.2756471970024,14.2756471970024,2,v,0.24528114500208176,16.275943066000764,18.276106217999768,18.276106217999768,18.276106217999768,18.276106217999768,18.276106217999768,18.276106217999768,3.89,0,19.277279400001134,20.277415423999628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h33.41.480,CGTriskyDMtask,2022.2.1,60.024173895101455,
20.03,0.0,1.99,0,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,20.277415423999628,20.277415423999628,20.277415423999628,20.277415423999628,20.277415423999628,20.277415423999628,20.277415423999628,22.26104022599975,22.26104022599975,22.26104022599975,1,v,0.44403425300333765,24.262309275000007,26.262620756002434,26.262620756002434,26.262620756002434,26.262620756002434,26.262620756002434,26.262620756002434,0.0,1,27.26268548799999,28.262836247999076,27.26268548799999,27.26268548799999,27.26268548799999,27.26268548799999,27.26268548799999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h33.41.480,CGTriskyDMtask,2022.2.1,60.024173895101455,
17.73,0.0,3.13,0,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,28.262836247999076,28.262836247999076,28.262836247999076,28.262836247999076,28.262836247999076,28.262836247999076,28.262836247999076,30.247192105001886,30.247192105001886,30.247192105001886,1,v,0.3300735500015435,32.247727594000025,34.24898960400242,34.24898960400242,34.24898960400242,34.24898960400242,34.24898960400242,34.24898960400242,17.73,1,35.248964293001336,36.598216328999115,35.248964293001336,35.248964293001336,35.248964293001336,35.248964293001336,35.248964293001336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h33.41.480,CGTriskyDMtask,2022.2.1,60.024173895101455,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd015_muInd001.csv,36.598216328999115,37.23263856899939,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd015_muInd001.csv,15,1,return,2.3760361899985583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h33.41.480,CGTriskyDMtask,2022.2.1,60.024173895101455,
13.931925647438,0,0.0813256986439228,,0.939784709123793,0,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,39.63908437200007,39.63908437200007,39.63908437200007,39.63908437200007,39.63908437200007,39.63908437200007,39.63908437200007,41.617665240999486,41.617665240999486,41.617665240999486,2,v,0.4383656130012241,43.61774679700102,45.61897241300176,45.61897241300176,45.61897241300176,45.61897241300176,45.61897241300176,45.61897241300176,0.0813256986439228,0,46.6190960970016,47.61894975299947,46.6190960970016,46.6190960970016,46.6190960970016,46.6190960970016,46.6190960970016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h33.41.480,CGTriskyDMtask,2022.2.1,60.024173895101455,
13.5881197831826,0,10.0221149647376,,0.0669614539245587,0,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,47.61894975299947,47.61894975299947,47.61894975299947,47.61894975299947,47.61894975299947,47.61894975299947,47.61894975299947,49.60388771200087,49.60388771200087,49.60388771200087,1,n,0.3402323830014211,51.60415997599921,53.60446152900113,53.60446152900113,53.60446152900113,53.60446152900113,53.60446152900113,53.60446152900113,10.0221149647376,0,54.60561987600158,55.605738893002126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h33.41.480,CGTriskyDMtask,2022.2.1,60.024173895101455,
22.3864335837541,0,4.41698060340714,,0.509308062266759,1,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,55.605738893002126,55.605738893002126,55.605738893002126,55.605738893002126,55.605738893002126,55.605738893002126,55.605738893002126,57.590188902999216,57.590188902999216,57.590188902999216,1,v,0.2907251129981887,59.590521997000906,61.59092987999975,61.59092987999975,61.59092987999975,61.59092987999975,61.59092987999975,61.59092987999975,0,1,62.59088836600131,63.59102788100063,62.59088836600131,62.59088836600131,62.59088836600131,62.59088836600131,62.59088836600131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h33.41.480,CGTriskyDMtask,2022.2.1,60.024173895101455,
