riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,digitSpan,digits,digitsReverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,TrialFSPractice.thisRepN,TrialFSPractice.thisTrialN,TrialFSPractice.thisN,TrialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,outcomes,choices,itiTextReal.started,itiTextReal.stopped,dynamicChoiceSet.routineStartVal,showPart2fileName.started,moveAlong.started,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,moveAlong.keys,moveAlong.rt,breaktxt.started,cont_buttonBreak.started,BreakEndMouse.started,BreakEndMouse.x,BreakEndMouse.y,BreakEndMouse.leftButton,BreakEndMouse.midButton,BreakEndMouse.rightButton,BreakEndMouse.time,GenInsText.started,mouse_2.started,cont_buttonGEN.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,FSGenInsText.started,FSMouse.started,cont_buttonFSIns.started,FSMouse.x,FSMouse.y,FSMouse.leftButton,FSMouse.midButton,FSMouse.rightButton,FSMouse.time,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.087205128002097,8.079814770000667,return,1.2474408599991875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h36.51.582,CGTriskyDMtask,2022.2.1,59.955864329617256,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.355158701000619,11.347731077999924,v,1.715560339998774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h36.51.582,CGTriskyDMtask,2022.2.1,59.955864329617256,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.081167579002795,13.081167579002795,v,1.0063231120002456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h36.51.582,CGTriskyDMtask,2022.2.1,59.955864329617256,
20.03,0.0,1.99,0,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,14.132894586000475,14.132894586000475,14.132894586000475,14.132894586000475,14.132894586000475,14.132894586000475,14.132894586000475,16.099453197999537,16.099453197999537,16.099453197999537,1,v,0.49912840199976927,18.099684024000453,20.100753624999925,20.100753624999925,20.100753624999925,20.100753624999925,20.100753624999925,20.100753624999925,21.101186918000167,21.101186918000167,21.101186918000167,21.101186918000167,21.101186918000167,20.03,1,21.101186918000167,22.101451360002102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h36.51.582,CGTriskyDMtask,2022.2.1,59.955864329617256,
28.21,0.0,3.89,0,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,22.101451360002102,22.101451360002102,22.101451360002102,22.101451360002102,22.101451360002102,22.101451360002102,22.101451360002102,24.08574028700241,24.08574028700241,24.08574028700241,2,n,0.3619599159974314,26.08627588500167,28.077210114999616,28.077210114999616,28.077210114999616,28.077210114999616,28.077210114999616,28.077210114999616,,,,,,28.21,1,29.087351473001036,30.087774547002482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h36.51.582,CGTriskyDMtask,2022.2.1,59.955864329617256,
17.73,0.0,3.13,0,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,30.087774547002482,30.087774547002482,30.087774547002482,30.087774547002482,30.087774547002482,30.087774547002482,30.087774547002482,32.07135644700247,32.07135644700247,32.07135644700247,2,v,0.1280566209970857,34.07237435100251,36.072748399001284,36.072748399001284,36.072748399001284,36.072748399001284,36.072748399001284,36.072748399001284,37.073158991002856,37.073158991002856,37.073158991002856,37.073158991002856,37.073158991002856,3.13,0,37.073158991002856,38.441149229001894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h36.51.582,CGTriskyDMtask,2022.2.1,59.955864329617256,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd009_muInd201.csv,38.441149229001894,39.074085249001655,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd009_muInd201.csv,9,201,return,3.2533490319983684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h36.51.582,CGTriskyDMtask,2022.2.1,59.955864329617256,
22.4043129424565,0,3.5150889729615296,,0.539668419779305,1,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,42.36408795200259,42.36408795200259,42.36408795200259,42.36408795200259,42.36408795200259,42.36408795200259,42.36408795200259,44.34226012600266,44.34226012600266,44.34226012600266,2,v,0.4565307949997077,46.3428403580001,48.34312736100037,48.34312736100037,48.34312736100037,48.34312736100037,48.34312736100037,48.34312736100037,,,,,,3.5150889729615296,0,49.34415927699956,50.344444876001944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h36.51.582,CGTriskyDMtask,2022.2.1,59.955864329617256,
27.1090837410185,0,4.25883268463658,,0.534765241071733,1,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,50.344444876001944,50.344444876001944,50.344444876001944,50.344444876001944,50.344444876001944,50.344444876001944,50.344444876001944,52.328238292000606,52.328238292000606,52.328238292000606,1,v,0.662860398999328,54.32888772500155,56.32873878100145,56.32873878100145,56.32873878100145,56.32873878100145,56.32873878100145,56.32873878100145,57.31539399400208,57.31539399400208,57.31539399400208,57.31539399400208,57.31539399400208,0,1,57.31539399400208,58.31176831099947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h36.51.582,CGTriskyDMtask,2022.2.1,59.955864329617256,
5.629161660769019,0,11.7962615603581,,2.5470732909591e-22,0,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,58.31176831099947,58.31176831099947,58.31176831099947,58.31176831099947,58.31176831099947,58.31176831099947,58.31176831099947,60.29794179400051,60.29794179400051,60.29794179400051,2,v,0.5174615389987594,62.3144680530022,64.31568798400258,64.31568798400258,64.31568798400258,64.31568798400258,64.31568798400258,64.31568798400258,65.31592852800168,65.31592852800168,65.31592852800168,65.31592852800168,65.31592852800168,11.7962615603581,0,65.31592852800168,66.31623113100068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h36.51.582,CGTriskyDMtask,2022.2.1,59.955864329617256,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66.31623113100068,71.30109559600169,5.001189893002447,[0.0625],[-0.3975694444444444],[1],[0],[0],[0.783818962998339],,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h36.51.582,CGTriskyDMtask,2022.2.1,59.955864329617256,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.10137384700283,2.009499803534709e-05,72.10137384700283,[0.0625],[-0.3975694444444444],[1],[0],[0],[0.7496401489988784],,,,,,,,,,,,,,,,,,,001,2022-07-30_17h36.51.582,CGTriskyDMtask,2022.2.1,59.955864329617256,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.85201261700058,1.659299960010685e-05,72.85201261700058,[0.0625],[-0.3975694444444444],[1],[0],[0],[0.8828571439989901],,,,,,,,,,001,2022-07-30_17h36.51.582,CGTriskyDMtask,2022.2.1,59.955864329617256,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73.73485364600128,74.7191319850026,74.73579983300078,75.7192089550008,,,,,,001,2022-07-30_17h36.51.582,CGTriskyDMtask,2022.2.1,59.955864329617256,
,,,,,,3,342,243,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.7192089550008,76.7193758070025,76.7193758070025,77.71974140400198,,,,,,001,2022-07-30_17h36.51.582,CGTriskyDMtask,2022.2.1,59.955864329617256,
