riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,digitSpan,digits,digitsReverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,TrialFSPractice.thisRepN,TrialFSPractice.thisTrialN,TrialFSPractice.thisN,TrialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,digitLoop.thisRepN,digitLoop.thisTrialN,digitLoop.thisN,digitLoop.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,itiTextReal.stopped,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,dynamicChoiceSet.routineStartVal,showPart2fileName.started,moveAlong.started,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,moveAlong.keys,moveAlong.rt,breaktxt.started,cont_buttonBreak.started,BreakEndMouse.started,BreakEndMouse.x,BreakEndMouse.y,BreakEndMouse.leftButton,BreakEndMouse.midButton,BreakEndMouse.rightButton,BreakEndMouse.time,GenInsText.started,mouse_2.started,cont_buttonGEN.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,FSGenInsText.started,FSMouse.started,cont_buttonFSIns.started,FSMouse.x,FSMouse.y,FSMouse.leftButton,FSMouse.midButton,FSMouse.rightButton,FSMouse.time,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,feedbac_textPractice.started,feedbac_textPractice.stopped,text_2.started,text_2.stopped,fixation.started,presentation_text.started,fixation.stopped,presentation_text.stopped,digitsForTrial,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.48802842400255,8.477821365002455,return,5.3571195590011484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.865891516001284,15.864145137002197,v,0.46618123799635214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.349670247000176,16.349670247000176,v,2.8050260500021977,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
28.21,0.0,3.89,0,,,,,,,,,,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.199112309001066,19.199112309001066,19.199112309001066,19.199112309001066,19.199112309001066,19.199112309001066,19.199112309001066,21.16588298699935,21.16588298699935,21.16588298699935,2,v,0.6362606799993955,23.16610641800071,25.16641434399935,25.16641434399935,25.16641434399935,25.16641434399935,25.16641434399935,25.16641434399935,3.89,0,26.16731354500007,27.167503028002102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
20.03,0.0,1.99,0,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.167503028002102,27.167503028002102,27.167503028002102,27.167503028002102,27.167503028002102,27.167503028002102,27.167503028002102,29.151331361001212,29.151331361001212,29.151331361001212,1,v,0.6667982370017853,31.15238842799954,33.15280779100067,33.15280779100067,33.15280779100067,33.15280779100067,33.15280779100067,33.15280779100067,20.03,1,34.152735285002564,35.15306696799962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
17.73,0.0,3.13,0,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.15306696799962,35.15306696799962,35.15306696799962,35.15306696799962,35.15306696799962,35.15306696799962,35.15306696799962,37.13746634600102,37.13746634600102,37.13746634600102,2,n,0.35268527700100094,39.138047884000116,41.13910178500009,41.13910178500009,41.13910178500009,41.13910178500009,41.13910178500009,41.13910178500009,0.0,1,42.13915748600266,43.491429313999106,42.13915748600266,42.13915748600266,42.13915748600266,42.13915748600266,42.13915748600266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd015_muInd001.csv,43.491429313999106,44.12305610800104,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd015_muInd001.csv,15,1,return,3.151402711002447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
13.931925647438,0,0.0813256986439228,,0.939784709123793,0,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,47.296677580001415,47.296677580001415,47.296677580001415,47.296677580001415,47.296677580001415,47.296677580001415,47.296677580001415,49.274504536002496,49.274504536002496,49.274504536002496,2,v,0.535804401999485,51.27583319900077,53.27622550399974,53.27622550399974,53.27622550399974,53.27622550399974,53.27622550399974,53.27622550399974,0.0813256986439228,0,54.276215113000944,55.276320536999265,54.276215113000944,54.276215113000944,54.276215113000944,54.276215113000944,54.276215113000944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
13.5881197831826,0,10.0221149647376,,0.0669614539245587,0,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,55.276320536999265,55.276320536999265,55.276320536999265,55.276320536999265,55.276320536999265,55.276320536999265,55.276320536999265,57.26112764700156,57.26112764700156,57.26112764700156,2,n,0.03695417800190626,59.26113567400171,61.26244152200161,61.26244152200161,61.26244152200161,61.26244152200161,61.26244152200161,61.26244152200161,0,1,62.262402132000716,63.262578144000145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
22.3864335837541,0,4.41698060340714,,0.509308062266759,1,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,63.262578144000145,63.262578144000145,63.262578144000145,63.262578144000145,63.262578144000145,63.262578144000145,63.262578144000145,65.24638093300018,65.24638093300018,65.24638093300018,2,v,0.33164256699819816,67.2475558570004,69.24782036800025,69.24782036800025,69.24782036800025,69.24782036800025,69.24782036800025,69.24782036800025,4.41698060340714,0,70.24781838100171,71.24907357900156,70.24781838100171,70.24781838100171,70.24781838100171,70.24781838100171,70.24781838100171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_17h56.05.643,CGTriskyDMtask,2022.2.1,60.14254348145439,
