riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,digitSpan,digits,digitsReverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,TrialFSPractice.thisRepN,TrialFSPractice.thisTrialN,TrialFSPractice.thisN,TrialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,itiTextReal.stopped,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,dynamicChoiceSet.routineStartVal,showPart2fileName.started,moveAlong.started,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,moveAlong.keys,moveAlong.rt,breaktxt.started,cont_buttonBreak.started,BreakEndMouse.started,BreakEndMouse.x,BreakEndMouse.y,BreakEndMouse.leftButton,BreakEndMouse.midButton,BreakEndMouse.rightButton,BreakEndMouse.time,GenInsText.started,mouse_2.started,cont_buttonGEN.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,FSGenInsText.started,FSMouse.started,cont_buttonFSIns.started,FSMouse.x,FSMouse.y,FSMouse.leftButton,FSMouse.midButton,FSMouse.rightButton,FSMouse.time,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,feedbac_textPractice.started,feedbac_textPractice.stopped,text_2.started,text_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.210425164998014,9.203762034998363,return,3.140723923999758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.37308687499899,14.355449258997396,n,2.0202356230001897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.408782094000344,16.408782094000344,n,2.727447466004378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
20.03,0.0,1.99,0,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,19.17618247199789,19.17618247199789,19.17618247199789,19.17618247199789,19.17618247199789,19.17618247199789,19.17618247199789,21.141588559999946,21.141588559999946,21.141588559999946,2,n,0.586966710005072,23.141932716996962,25.142539012998895,25.142539012998895,25.142539012998895,25.142539012998895,25.142539012998895,25.142539012998895,0.0,1,26.14305299999978,27.14374549599961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
17.73,0.0,3.13,0,,,,,,,,,,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,27.14374549599961,27.14374549599961,27.14374549599961,27.14374549599961,27.14374549599961,27.14374549599961,27.14374549599961,29.127062092000415,29.127062092000415,29.127062092000415,2,v,0.513213407004514,31.12848768099866,33.12920413499887,33.12920413499887,33.12920413499887,33.12920413499887,33.12920413499887,33.12920413499887,3.13,0,34.129317699997046,35.12734375999935,34.129317699997046,34.129317699997046,34.129317699997046,34.129317699997046,34.129317699997046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
28.21,0.0,3.89,0,,,,,,,,,,0,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,35.12734375999935,35.12734375999935,35.12734375999935,35.12734375999935,35.12734375999935,35.12734375999935,35.12734375999935,37.129911375999654,37.129911375999654,37.129911375999654,1,n,0.7503967120028392,39.11298819699732,41.11506838299829,41.11506838299829,41.11506838299829,41.11506838299829,41.11506838299829,41.11506838299829,3.89,0,42.11546824799734,43.472512206997635,42.11546824799734,42.11546824799734,42.11546824799734,42.11546824799734,42.11546824799734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd004_muInd201.csv,43.472512206997635,44.09886202099733,../choiceset/bespoke_choicesets/bespoke_choiceset_rhoInd004_muInd201.csv,4,201,return,1.0540130139997927,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
15.441813502472401,0,7.819461897772269,,3.89439206292843e-11,0,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,45.18850128399936,45.18850128399936,45.18850128399936,45.18850128399936,45.18850128399936,45.18850128399936,45.18850128399936,47.16691334799907,47.16691334799907,47.16691334799907,2,v,0.39285913500134484,49.16716409499713,51.16843064799832,51.16843064799832,51.16843064799832,51.16843064799832,51.16843064799832,51.16843064799832,7.819461897772269,0,52.16854505799711,53.16879817699737,52.16854505799711,52.16854505799711,52.16854505799711,52.16854505799711,52.16854505799711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
25.9734879862634,0,2.44698572214693,,0.9605543621595691,0,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,53.16879817699737,53.16879817699737,53.16879817699737,53.16879817699737,53.16879817699737,53.16879817699737,53.16879817699737,55.15238566199696,55.15238566199696,55.15238566199696,1,n,0.3994189250006457,57.153603673999896,59.153724334999424,59.153724334999424,59.153724334999424,59.153724334999424,59.153724334999424,59.153724334999424,2.44698572214693,0,60.153876833999675,61.15504242899988,60.153876833999675,60.153876833999675,60.153876833999675,60.153876833999675,60.153876833999675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
27.5773200138472,0,3.3145179445855297,,0.53134072638187,1,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,61.15504242899988,61.15504242899988,61.15504242899988,61.15504242899988,61.15504242899988,61.15504242899988,61.15504242899988,63.139569745999324,63.139569745999324,63.139569745999324,2,n,0.34856286000285763,65.13865303099738,67.14026051699693,67.14026051699693,67.14026051699693,67.14026051699693,67.14026051699693,67.14026051699693,27.5773200138472,1,68.14032063699779,69.14052351999999,68.14032063699779,68.14032063699779,68.14032063699779,68.14032063699779,68.14032063699779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-30_18h19.42.056,CGTriskyDMtask,2022.2.1,60.01356126517439,
