riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,itiTextReal.stopped,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,dynamicChoiceSet.routineStartVal,showPart2fileName.started,moveAlong.started,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,moveAlong.keys,moveAlong.rt,vLeftReal.stopped,nRightReal.stopped,realChoice.stopped,circleLeftReal.stopped,circleRightReal.stopped,lineLeftReal.stopped,orTextReal.stopped,lossTxtReal.stopped,gainTxtReal.stopped,safeTxtReal.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,6.562758526997641,8.56697374000214,return,17.026952532003634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
,,,,,,,,,,,,,,,,,,,,,,25.62320515600004,27.605794025999785,v,0.24478661100147292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
,,,,,,,,,,,,,,,,,,,,,,,,,,27.87486904099933,27.87486904099933,v,3.4877168530001654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
15.96,0.0,10.02,0,,,,,,,0,0,0,31,,,,,,,,,,,,,,,,,31.410332819999894,31.410332819999894,31.410332819999894,31.410332819999894,31.410332819999894,31.410332819999894,31.410332819999894,33.37540155299939,33.37540155299939,33.37540155299939,1,v,0.5549021629994968,35.3757046239989,37.37612051200267,37.37612051200267,37.37612051200267,37.37612051200267,37.37612051200267,37.37612051200267,15.96,1,38.37687053799891,39.37652649800293,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
13.1,7.73,4.68,1,,,,,,,0,1,1,44,,,,,,,,,,,,,,,,,39.37652649800293,39.37652649800293,39.37652649800293,39.37652649800293,39.37652649800293,39.37652649800293,39.37652649800293,41.360831124999095,41.360831124999095,41.360831124999095,1,v,0.8980884510019678,43.36203901100089,45.362359637001646,45.362359637001646,45.362359637001646,45.362359637001646,45.362359637001646,45.362359637001646,7.73,1,46.36244333299692,47.36266789799993,46.36244333299692,46.36244333299692,46.36244333299692,46.36244333299692,46.36244333299692,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
16.11,6.99,6.99,1,,,,,,,0,2,2,43,,,,,,,,,,,,,,,,,47.36266789799993,47.36266789799993,47.36266789799993,47.36266789799993,47.36266789799993,47.36266789799993,47.36266789799993,49.34706227100105,49.34706227100105,49.34706227100105,2,n,0.4868547100049909,51.34737636199861,53.34866846800287,53.34866846800287,53.34866846800287,53.34866846800287,53.34866846800287,53.34866846800287,16.11,1,54.348747718002414,55.34924875300203,54.348747718002414,54.348747718002414,54.348747718002414,54.348747718002414,54.348747718002414,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
25.2,0.0,5.4,0,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,55.34924875300203,55.34924875300203,55.34924875300203,55.34924875300203,55.34924875300203,55.34924875300203,55.34924875300203,57.332429652997234,57.332429652997234,57.332429652997234,2,n,0.49322750899591483,59.33364480899763,61.33413443300378,61.33413443300378,61.33413443300378,61.33413443300378,61.33413443300378,61.33413443300378,0.0,1,62.33424459199887,63.335338044998934,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
15.7,0.0,10.15,0,,,,,,,0,4,4,33,,,,,,,,,,,,,,,,,63.335338044998934,63.335338044998934,63.335338044998934,63.335338044998934,63.335338044998934,63.335338044998934,63.335338044998934,65.31897970200225,65.31897970200225,65.31897970200225,1,v,0.40318339899386046,67.31920585100306,69.3203966880028,69.3203966880028,69.3203966880028,69.3203966880028,69.3203966880028,69.3203966880028,15.7,1,70.3206272699972,71.32076190200314,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
17.73,0.0,3.13,0,,,,,,,0,5,5,2,,,,,,,,,,,,,,,,,71.32076190200314,71.32076190200314,71.32076190200314,71.32076190200314,71.32076190200314,71.32076190200314,71.32076190200314,73.30526880000252,73.30526880000252,73.30526880000252,1,v,0.59228217999771,75.30577537800127,77.2968241080016,77.2968241080016,77.2968241080016,77.2968241080016,77.2968241080016,77.2968241080016,17.73,1,78.30684998499783,79.30724488299893,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
19.86,0.0,8.07,0,,,,,,,0,6,6,11,,,,,,,,,,,,,,,,,79.30724488299893,79.30724488299893,79.30724488299893,79.30724488299893,79.30724488299893,79.30724488299893,79.30724488299893,81.28971206599817,81.28971206599817,81.28971206599817,1,n,0.816449357997044,83.2918271180024,85.28308816400386,85.28308816400386,85.28308816400386,85.28308816400386,85.28308816400386,85.28308816400386,8.07,0,86.27860824500385,87.27448421699955,86.27860824500385,86.27860824500385,86.27860824500385,86.27860824500385,86.27860824500385,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h01.34.476,CGTriskyDMtask,2022.2.1,60.019440415956616,
