riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,circleLeft.started,circleRight.started,lineLeft.started,orText.started,lossTxt.started,gainTxt.started,safeTxt.started,vLeft.started,nRight.started,choice1.started,choice1.keys,choice1.rt,isiText.started,isiText.stopped,noRespTxt.started,ocGamble.started,ocSafe.started,outcomeText.started,hideGamble.started,noRespTxt.stopped,ocGamble.stopped,ocSafe.stopped,outcomeText.stopped,hideGamble.stopped,outcome,itiText.started,itiText.stopped,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,isiTextReal.started,isiTextReal.stopped,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,outcomes,choices,itiTextReal.started,itiTextReal.stopped,realChoice.rt,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,6.952640194998821,8.957386487003532,return,54.30276634199981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,63.28858279200358,65.27684792500077,v,1.8462236010018387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
18.23,0,9.45,2,1,1,,,,,0,0,0,0,,,,,,,,,,,,,67.16417446199921,67.16417446199921,67.16417446199921,67.16417446199921,67.16417446199921,67.16417446199921,67.16417446199921,69.12729726699763,69.12729726699763,69.12729726699763,v,0.5245207619955181,71.12844476399914,73.12888600500446,73.12888600500446,73.12888600500446,73.12888600500446,73.12888600500446,73.12888600500446,74.11532538699976,74.11532538699976,74.11532538699976,74.11532538699976,74.11532538699976,0,74.11532538699976,75.11309030999837,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
53.27,0,35.16,1,3,1,,,,,0,1,1,1,,,,,,,,,,,,,75.11309030999837,75.11309030999837,75.11309030999837,75.11309030999837,75.11309030999837,75.11309030999837,75.11309030999837,77.09570496800006,77.09570496800006,77.09570496800006,n,0.340347107994603,79.11316647400236,80.10478163899825,80.10478163899825,80.10478163899825,80.10478163899825,80.10478163899825,80.10478163899825,,,,,,35.16,81.11531367099815,84.11012898499757,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
8.27,0,1.15,1,2,2,,,,,0,2,2,2,,,,,,,,,,,,,84.11012898499757,84.11012898499757,84.11012898499757,84.11012898499757,84.11012898499757,84.11012898499757,84.11012898499757,86.10031895700376,86.10031895700376,86.10031895700376,n,0.4796573389976402,88.08669077900413,89.0832422070016,89.0832422070016,89.0832422070016,89.0832422070016,89.0832422070016,89.0832422070016,90.07032413200068,90.07032413200068,90.07032413200068,90.07032413200068,90.07032413200068,0,90.07032413200068,92.08027052900434,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
45.88,0,40.41,3,1,1,,,,,0,3,3,3,,,,,,,,,,,,,92.08027052900434,92.08027052900434,92.08027052900434,92.08027052900434,92.08027052900434,92.08027052900434,92.08027052900434,94.05811128300411,94.05811128300411,94.05811128300411,n,0.8095971789953182,96.07021913800418,99.06137463100458,99.06137463100458,99.06137463100458,99.06137463100458,99.06137463100458,99.06137463100458,,,,,,40.41,100.06966998200369,101.07167799799936,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
21.56,0,11.96,1,1,2,,,,,0,4,4,4,,,,,,,,,,,,,101.07167799799936,101.07167799799936,101.07167799799936,101.07167799799936,101.07167799799936,101.07167799799936,101.07167799799936,103.04507098400063,103.04507098400063,103.04507098400063,n,0.34238420499605127,105.0416355960042,106.05690833400149,106.05690833400149,106.05690833400149,106.05690833400149,106.05690833400149,106.05690833400149,107.05710319200443,107.05710319200443,107.05710319200443,107.05710319200443,107.05710319200443,21.56,107.05710319200443,108.04380058300012,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.04380058300012,108.04380058300012,v,35.99245384799724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,1,19.28,0.0,8.36,0,,,,,0,0,0,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,144.0595815150009,144.0595815150009,144.0595815150009,144.0595815150009,144.0595815150009,144.0595815150009,144.0595815150009,146.0534085449981,146.0534085449981,146.0534085449981,1,None,148.052370960002,149.05305969500478,149.05305969500478,149.05305969500478,149.05305969500478,149.05305969500478,149.05305969500478,150.04007836500386,150.04007836500386,150.04007836500386,150.04007836500386,150.04007836500386,nan,nan,150.04007836500386,151.05510087300354,,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
,,,,,1,16.6,0.0,9.7,0,,,,,0,1,1,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151.05510087300354,151.05510087300354,151.05510087300354,151.05510087300354,151.05510087300354,151.05510087300354,151.05510087300354,153.0284530200006,153.0284530200006,153.0284530200006,1,v,155.02486146199954,156.04000521200214,156.04000521200214,156.04000521200214,156.04000521200214,156.04000521200214,156.04000521200214,157.02637672499986,157.02637672499986,157.02637672499986,157.02637672499986,157.02637672499986,0.0,1,157.02637672499986,158.03534654599935,0.32742780599801335,,001,2022-07-31_18h35.42.606,CGTriskyDMtask,2022.2.1,None,
