riskyoption1,riskyoption2,safeoption,ischecktrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,isiTextReal.started,isiTextReal.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,6.365950863000762,8.358491394996236,return,3.0718146310027805,,,,,,,,,,,,001,2022-07-31_18h55.19.003,CGTriskyDMtask,2022.2.1,60.064727069601744,
,,,,,,,,,,,,,,,,11.459610730002169,13.44329951099644,n,0.0835657930074376,,,,,,,,001,2022-07-31_18h55.19.003,CGTriskyDMtask,2022.2.1,60.064727069601744,
,,,,,,,,,,,,,,,,,,,,13.543846578002558,13.543846578002558,n,1.3027377750040614,,,,001,2022-07-31_18h55.19.003,CGTriskyDMtask,2022.2.1,60.064727069601744,
6.79,0.0,9.92,1,,,,,0,0,0,49,,,,,,,,,,,,,14.877893133001635,16.87811817599868,,001,2022-07-31_18h55.19.003,CGTriskyDMtask,2022.2.1,60.064727069601744,
22.97,0.0,6.51,0,,,,,0,1,1,5,,,,,,,,,,,,,16.87811817599868,18.87839693800197,,001,2022-07-31_18h55.19.003,CGTriskyDMtask,2022.2.1,60.064727069601744,
10.12,0.0,6.94,0,,,,,0,2,2,38,,,,,,,,,,,,,18.87839693800197,20.879475982001168,,001,2022-07-31_18h55.19.003,CGTriskyDMtask,2022.2.1,60.064727069601744,
17.28,0.0,9.36,0,,,,,0,3,3,23,,,,,,,,,,,,,20.879475982001168,22.879248773002473,,001,2022-07-31_18h55.19.003,CGTriskyDMtask,2022.2.1,60.064727069601744,
25.2,0.0,5.4,0,,,,,0,4,4,3,,,,,,,,,,,,,22.879248773002473,24.88101537899638,,001,2022-07-31_18h55.19.003,CGTriskyDMtask,2022.2.1,60.064727069601744,
20.03,0.0,1.99,0,,,,,0,5,5,0,,,,,,,,,,,,,24.88101537899638,26.881754968002497,,001,2022-07-31_18h55.19.003,CGTriskyDMtask,2022.2.1,60.064727069601744,
13.1,7.73,4.68,1,,,,,0,6,6,44,,,,,,,,,,,,,26.881754968002497,28.869217801999184,,001,2022-07-31_18h55.19.003,CGTriskyDMtask,2022.2.1,60.064727069601744,
,,,,,,,,,,,,,,,,,,,,,,,,28.869217801999184,,,,,,,,
