riskyGain,riskyLoss,alternative,isi,iti,loc,riskyoption1,riskyoption2,safeoption,ischecktrial,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,participant,session,date,expName,psychopyVersion,frameRate,
18.23,0,9.45,2,1,1,,,,,0,0,0,0,,,,,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
53.27,0,35.16,1,3,1,,,,,0,1,1,1,,,,,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
8.27,0,1.15,1,2,2,,,,,0,2,2,2,,,,,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
45.88,0,40.41,3,1,1,,,,,0,3,3,3,,,,,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
21.56,0,11.96,1,1,2,,,,,0,4,4,4,,,,,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,20.53,0.0,7.73,0,,,,,0,0,0,9,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,17.73,0.0,3.13,0,,,,,0,1,1,2,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,20.03,0.0,1.99,0,,,,,0,2,2,0,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,0.0,0.0,3.13,1,,,,,0,3,3,47,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,13.94,0.0,5.03,0,,,,,0,4,4,8,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,18.33,0.0,8.84,0,,,,,0,5,5,17,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,19.28,0.0,8.36,0,,,,,0,6,6,13,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,15.96,0.0,10.02,0,,,,,0,7,7,31,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,28.21,0.0,3.89,0,,,,,0,8,8,1,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,17.28,0.0,9.36,0,,,,,0,9,9,23,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,12.08,0.0,5.96,0,,,,,0,10,10,18,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,15.7,0.0,10.15,0,,,,,0,11,11,33,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,12.36,0.0,5.82,0,,,,,0,12,12,16,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,13.1,7.73,4.68,1,,,,,0,13,13,44,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,19.86,0.0,8.07,0,,,,,0,14,14,11,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,11.84,0.0,6.08,0,,,,,0,15,15,20,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
,,,,,,10.68,0.0,10.68,1,,,,,0,16,16,48,,001,2022-07-31_18h58.34.140,CGTriskyDMtask,2022.2.1,60.895759448984215,
