digitSpan,digits,digitsReverse,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,TrialFSPractice.thisRepN,TrialFSPractice.thisTrialN,TrialFSPractice.thisN,TrialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,breaktxt.started,cont_buttonBreak.started,BreakEndMouse.started,BreakEndMouse.x,BreakEndMouse.y,BreakEndMouse.leftButton,BreakEndMouse.midButton,BreakEndMouse.rightButton,BreakEndMouse.time,GenInsText.started,mouse_2.started,cont_buttonGEN.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,FSGenInsText.started,FSMouse.started,cont_buttonFSIns.started,FSMouse.x,FSMouse.y,FSMouse.leftButton,FSMouse.midButton,FSMouse.rightButton,FSMouse.time,fixation_2.started,pres_text_practice.started,fixation_2.stopped,pres_text_practice.stopped,recall_txtPractice.started,textboxPractice.started,cont_buttonPractice.started,mousePractice.started,textboxPractice.text,correct,mousePractice.x,mousePractice.y,mousePractice.leftButton,mousePractice.midButton,mousePractice.rightButton,mousePractice.clicked_name,feedbac_textPractice.started,feedbac_textPractice.stopped,praccomplete.started,cont_buttonFSReal.started,mouse_5.started,mouse_5.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,6.398668739006098,11.39265917600278,5.002536891995987,[-0.026041666666666668],[-0.3663194444444444],[1],[0],[0],[11.137236833004863],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_19h01.47.200,CGTriskyDMtask,2022.2.1,60.03555365407819,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.54636943100195,2.0491999748628587e-05,22.54636943100195,[-0.015625],[-0.3697916666666667],[1],[0],[0],[11.873682477998955],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_19h01.47.200,CGTriskyDMtask,2022.2.1,60.03555365407819,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.41659549600445,1.738900027703494e-05,34.41659549600445,[-0.015625],[-0.3697916666666667],[1],[0],[0],[2.363511739000387],,,,,,,,,,,,,,,,,,,,,,,,001,2022-07-31_19h01.47.200,CGTriskyDMtask,2022.2.1,60.03555365407819,
3,342,243,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.78425892700034,37.76708830900316,37.77087104599923,38.767383930004144,,,,,,,,,,,,,,,,,,,,001,2022-07-31_19h01.47.200,CGTriskyDMtask,2022.2.1,60.03555365407819,
3,342,243,,,,,,,,,,,,,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.767383930004144,39.76830975300254,39.76830975300254,40.76742254700366,,,,,,,,,,,,,,,,,,,,001,2022-07-31_19h01.47.200,CGTriskyDMtask,2022.2.1,60.03555365407819,
3,342,243,,,,,,,,,,,,,0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.76742254700366,41.769298304003314,41.769298304003314,42.769660689002194,,,,,,,,,,,,,,,,,,,,001,2022-07-31_19h01.47.200,CGTriskyDMtask,2022.2.1,60.03555365407819,
3,342,243,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.769660689002194,42.769660689002194,42.769660689002194,0.001358976005576551,342,1,-0.017361111111111112,-0.3784722222222222,1,0,0,cont_buttonPractice,45.40352134400018,46.40441744400596,,,,,,001,2022-07-31_19h01.47.200,CGTriskyDMtask,2022.2.1,60.03555365407819,
3,937,739,,,,,,,,,,,,,0,1,1,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,46.40441744400596,47.404439782003465,47.404439782003465,48.40471613400587,,,,,,,,,,,,,,,,,,,,001,2022-07-31_19h01.47.200,CGTriskyDMtask,2022.2.1,60.03555365407819,
3,937,739,,,,,,,,,,,,,0,1,1,1,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.40471613400587,49.38723066300008,49.3907818650041,50.37613671100553,,,,,,,,,,,,,,,,,,,,001,2022-07-31_19h01.47.200,CGTriskyDMtask,2022.2.1,60.03555365407819,
3,937,739,,,,,,,,,,,,,0,1,1,1,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.38713059300062,51.38911928500602,51.38911928500602,52.38954548000038,,,,,,,,,,,,,,,,,,,,001,2022-07-31_19h01.47.200,CGTriskyDMtask,2022.2.1,60.03555365407819,
3,937,739,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.38954548000038,52.38954548000038,52.38954548000038,-0.0005182059976505116,937,1,-0.015625,-0.3802083333333333,1,0,0,cont_buttonPractice,55.23838458300452,56.24090647200501,,,,,,001,2022-07-31_19h01.47.200,CGTriskyDMtask,2022.2.1,60.03555365407819,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.24090647200501,56.24090647200501,0.010299933994247112,1.0105531249937485,,,,,,,
