riskyoption1,riskyoption2,safeoption,ischecktrial,choiceP,easy0difficult1,digitSpan,digits,digitsReverse,digitSpanReverse,digitsReverseCorrAnswer,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,staticRDM.thisRepN,staticRDM.thisTrialN,staticRDM.thisN,staticRDM.thisIndex,dynamicRDM.thisRepN,dynamicRDM.thisTrialN,dynamicRDM.thisN,dynamicRDM.thisIndex,trialFSPractice.thisRepN,trialFSPractice.thisTrialN,trialFSPractice.thisN,trialFSPractice.thisIndex,DigitLoopPractice.thisRepN,DigitLoopPractice.thisTrialN,DigitLoopPractice.thisN,DigitLoopPractice.thisIndex,Instructions.started,inst1.started,inst1.keys,inst1.rt,startPract.started,startPracResp.started,startPracResp.keys,startPracResp.rt,postPracText.started,postPractResp.started,postPractResp.keys,postPractResp.rt,circleLeftReal.started,circleRightReal.started,lineLeftReal.started,orTextReal.started,lossTxtReal.started,gainTxtReal.started,safeTxtReal.started,vLeftReal.started,nRightReal.started,realChoice.started,loc,realChoice.keys,realChoice.rt,isiTextReal.started,noRespTxtReal.started,ocGambleReal.started,ocSafeReal.started,outcomeTextReal.started,hideGambleReal.started,outcomes,choices,itiTextReal.started,isiTextReal.stopped,noRespTxtReal.stopped,ocGambleReal.stopped,ocSafeReal.stopped,outcomeTextReal.stopped,hideGambleReal.stopped,vLeftReal.stopped,nRightReal.stopped,realChoice.stopped,itiTextReal.stopped,dynamicChoiceSet.routineStartVal,settingUpForPart2.started,settingUpForPart2.stopped,dynamicChoiceSet.routineEndVal,bestRho.routineEndVal,bestMu.routineEndVal,moveToRDMpart2.started,key_resp.started,key_resp.keys,key_resp.rt,circleLeftReal.stopped,circleRightReal.stopped,lineLeftReal.stopped,orTextReal.stopped,lossTxtReal.stopped,gainTxtReal.stopped,safeTxtReal.stopped,breaktxt.started,cont_buttonBreak.started,BreakEndMouse.started,BreakEndMouse.x,BreakEndMouse.y,BreakEndMouse.leftButton,BreakEndMouse.midButton,BreakEndMouse.rightButton,BreakEndMouse.time,GenInsText.started,mouse_2.started,cont_buttonGEN.started,mouse_2.x,mouse_2.y,mouse_2.leftButton,mouse_2.midButton,mouse_2.rightButton,mouse_2.time,mouse_2.clicked_name,FSGenInsText.started,FSMouse.started,cont_buttonFSIns.started,FSMouse.x,FSMouse.y,FSMouse.leftButton,FSMouse.midButton,FSMouse.rightButton,FSMouse.time,FSMouse.clicked_name,fixation_2.started,fixation_2.stopped,pres_text_practice.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.674909866997041,8.67737081299856,return,0.3436873979953816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-08-01_12h16.54.664,CGTriskyDMtask,2022.2.1,60.421205407191856,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.051855322999472,11.044495850997919,v,0.623765910990187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-08-01_12h16.54.664,CGTriskyDMtask,2022.2.1,60.421205407191856,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.699741026997799,11.699741026997799,v,1.2235296729922993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-08-01_12h16.54.664,CGTriskyDMtask,2022.2.1,60.421205407191856,
17.73,0.0,3.13,0,,,,,,,,,,,,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,12.966624052001862,12.966624052001862,12.966624052001862,12.966624052001862,12.966624052001862,12.966624052001862,12.966624052001862,14.93523484600155,14.93523484600155,14.93523484600155,2,n,0.6047672889981186,16.94617462500173,17.4482802670027,17.4482802670027,17.4482802670027,17.4482802670027,17.4482802670027,17.73,1,18.45225575200311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-08-01_12h16.54.664,CGTriskyDMtask,2022.2.1,60.421205407191856,
28.21,0.0,3.89,0,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,19.46417917600047,19.46417917600047,19.46417917600047,19.46417917600047,19.46417917600047,19.46417917600047,19.46417917600047,21.43091626399837,21.43091626399837,21.43091626399837,1,n,0.5165466869948432,23.43383265400189,23.937296178002725,23.937296178002725,23.937296178002725,23.937296178002725,23.937296178002725,3.89,0,24.93892038299964,23.937296178002725,24.93892038299964,24.93892038299964,24.93892038299964,24.93892038299964,24.93892038299964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-08-01_12h16.54.664,CGTriskyDMtask,2022.2.1,60.421205407191856,
20.03,0.0,1.99,0,,,,,,,,,,,,0,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,25.94930089599802,25.94930089599802,25.94930089599802,25.94930089599802,25.94930089599802,25.94930089599802,25.94930089599802,27.934019542000897,27.934019542000897,27.934019542000897,2,None,,29.951953885996772,30.442003916999965,30.442003916999965,30.442003916999965,30.442003916999965,30.442003916999965,nan,nan,31.433476789999986,,31.433476789999986,31.433476789999986,31.433476789999986,31.433476789999986,31.433476789999986,29.93544939599815,29.93544939599815,29.93544939599815,32.72225996600173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-08-01_12h16.54.664,CGTriskyDMtask,2022.2.1,60.421205407191856,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,../tasks_RDM_digitSpan/bespoke_choicesets/bespoke_choiceset_rhoInd005_muInd001.csv,32.72225996600173,36.740349412000796,../tasks_RDM_digitSpan/bespoke_choicesets/bespoke_choiceset_rhoInd005_muInd001.csv,5,1,36.740349412000796,36.740349412000796,return,1.4542756480004755,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-08-01_12h16.54.664,CGTriskyDMtask,2022.2.1,60.421205407191856,
3.3714794544037403,0,3.7123771791812,,0.026283600939115002,0,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,38.229660573997535,38.229660573997535,38.229660573997535,38.229660573997535,38.229660573997535,38.229660573997535,38.229660573997535,40.220902868997655,40.220902868997655,40.220902868997655,1,v,0.5912417079962324,42.22609700199973,42.727251725002134,42.727251725002134,42.727251725002134,42.727251725002134,42.727251725002134,3.3714794544037403,1,43.73976489099732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-08-01_12h16.54.664,CGTriskyDMtask,2022.2.1,60.421205407191856,
11.4623965801438,0,6.4325388194294595,,0.0946881868016171,0,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,44.739464596998005,44.739464596998005,44.739464596998005,44.739464596998005,44.739464596998005,44.739464596998005,44.739464596998005,46.7110245829972,46.7110245829972,46.7110245829972,2,None,,48.74463817100332,49.22800085200288,49.22800085200288,49.22800085200288,49.22800085200288,49.22800085200288,nan,nan,50.22915796199959,,,,,,,48.72678492099658,48.72678492099658,48.72678492099658,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-08-01_12h16.54.664,CGTriskyDMtask,2022.2.1,60.421205407191856,
23.4297499941895,0,2.80101991643896,,0.5217421498552479,1,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,51.22468730100081,51.22468730100081,51.22468730100081,51.22468730100081,51.22468730100081,51.22468730100081,51.22468730100081,53.22543012400274,53.22543012400274,53.22543012400274,1,None,,55.225780902001134,55.72663818699948,55.72663818699948,55.72663818699948,55.72663818699948,55.72663818699948,nan,nan,56.730209503999504,,,,,,,55.225780902001134,55.225780902001134,55.225780902001134,,,,,,,,,,,,55.225780902001134,55.225780902001134,55.225780902001134,55.225780902001134,55.225780902001134,55.225780902001134,55.225780902001134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2022-08-01_12h16.54.664,CGTriskyDMtask,2022.2.1,60.421205407191856,
